Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DD,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KHC,KMI,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,SYK,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM,^GSPC
2018-01-02,40.34189224243164,69.90162658691406,51.080387115478516,136.7078094482422,177.6999969482422,48.3497428894043,10.979999542236328,138.7298583984375,114.97183227539062,59.45050048828125,21.130889892578125,88.57154846191406,282.8863525390625,24.776779174804688,334.1700134277344,43.15492248535156,1756.0169677734375,416.6640319824219,45.55109405517578,197.22000122070312,56.8745231628418,131.85166931152344,348.9700012207031,62.114105224609375,31.54448699951172,86.7356948852539,42.68452835083008,168.72837829589844,103.15662384033203,30.433547973632812,56.96306228637695,90.32742309570312,36.44990158081055,78.95358276367188,106.22452545166016,60.00495147705078,58.40522384643555,21.36479377746582,8.263115882873535,224.5699462890625,167.19357299804688,81.17211151123047,54.85377502441406,36.7332878112793,52.85358810424805,214.26600646972656,154.82107543945312,117.66828918457031,104.00245666503906,39.330387115478516,149.86434936523438,125.08333587646484,111.35298156738281,86.34089660644531,52.55421447753906,11.968603134155273,35.49273681640625,137.7334747314453,75.15193176269531,257.27447509765625,79.05189514160156,145.05816650390625,143.5791473388672,34.999366760253906,67.06230926513672,38.10853958129883,180.16151428222656,148.8875274658203,38.98531723022461,41.90156936645508,41.06486511230469,79.0503921508789,31.778818130493164,20.10700035095215,57.30455780029297,4.92853307723999,41.25118637084961,92.4211654663086,24.229598999023438,73.34205627441406,68.7715072631836,73.66969299316406,52.95182418823242,66.86640167236328,48.400447845458984,46.15573501586914,33.953895568847656,111.84212493896484,144.87611389160156,16.276344299316406,54.1087646484375,188.94192504882812,61.869422912597656,21.368667602539062,84.35413360595703,194.5916290283203,113.86378479003906,91.09398651123047,39.419219970703125,108.33487701416016,34.81373596191406,48.89243698120117,28.9144229888916,58.970882415771484,2695.81005859375
2018-01-03,40.33485412597656,70.99549102783203,51.19333267211914,137.33876037597656,181.0399932861328,48.886077880859375,11.550000190734863,141.34764099121094,115.41986846923828,60.209999084472656,21.361980438232422,89.11763000488281,283.8012390136719,24.693910598754883,339.8500061035156,43.41954803466797,1794.7923583984375,421.0601501464844,45.58824920654297,199.7899932861328,57.0504264831543,132.05311584472656,353.0299987792969,61.87436294555664,31.03756332397461,86.58767700195312,43.471553802490234,170.75320434570312,104.02605438232422,30.676334381103516,56.715118408203125,90.98588562011719,37.03292465209961,80.00411224365234,106.68059539794922,59.817508697509766,58.94187927246094,21.078773498535156,8.328386306762695,227.3770294189453,168.23597717285156,81.9395980834961,55.26836013793945,37.6296501159668,53.72108459472656,212.27139282226562,155.6280059814453,116.69602966308594,106.86122131347656,37.99558639526367,150.2798309326172,127.94000244140625,112.41673278808594,86.42887878417969,52.54738235473633,12.07046127319336,35.4147834777832,138.88864135742188,75.56017303466797,259.4309997558594,79.39703369140625,146.8820037841797,142.97409057617188,35.13966751098633,68.45723724365234,38.351566314697266,183.38897705078125,148.88119506835938,38.84203338623047,41.84194564819336,41.175025939941406,79.41827392578125,31.104686737060547,20.5049991607666,57.295528411865234,5.252899646759033,42.206607818603516,92.17849731445312,24.40912628173828,73.2530517578125,68.68587493896484,76.57298278808594,53.55282974243164,67.84730529785156,49.30746078491211,46.22751998901367,33.75954818725586,111.32319641113281,145.6926727294922,15.90047550201416,53.74073791503906,192.4079132080078,61.4539909362793,21.149999618530273,86.63939666748047,196.63290405273438,114.50110626220703,93.11225128173828,39.80590057373047,109.41338348388672,34.09833908081055,49.26860046386719,29.166645050048828,60.12907028198242,2713.06005859375
2018-01-04,40.522216796875,70.59062194824219,51.10645294189453,138.96495056152344,183.22000122070312,49.08110046386719,12.119999885559082,140.7519989013672,113.73358154296875,60.47949981689453,21.369104385375977,90.59991455078125,282.7243957519531,25.01708984375,339.989990234375,43.85253143310547,1778.15478515625,426.6186828613281,46.179039001464844,200.69000244140625,57.75409698486328,133.86663818359375,349.7900085449219,62.271148681640625,31.23727035522461,88.31177520751953,43.97310256958008,169.42724609375,105.39936828613281,30.76313018798828,58.210479736328125,90.70269012451172,37.74263381958008,80.38848114013672,106.6330795288086,59.348880767822266,59.02444839477539,20.781972885131836,8.471979141235352,230.9164581298828,171.12966918945312,83.65512084960938,54.70573806762695,38.789642333984375,53.915626525878906,215.2381134033203,156.86306762695312,118.27300262451172,109.02556610107422,37.298805236816406,152.97084045410156,125.63999938964844,112.40874481201172,87.6669921875,53.1614990234375,12.102294921875,35.91359329223633,141.06674194335938,75.89739990234375,263.88116455078125,80.01824188232422,148.78216552734375,143.97702026367188,35.2221794128418,68.62037658691406,39.00468444824219,183.05133056640625,150.82728576660156,38.68771743774414,42.52017593383789,41.80448532104492,80.11724090576172,30.944841384887695,20.562999725341797,57.259422302246094,5.280588626861572,42.62240219116211,92.6325454711914,24.462324142456055,73.77086639404297,68.1654281616211,76.55303192138672,53.62592315673828,68.06119537353516,49.49223709106445,46.48773193359375,33.61558151245117,108.06692504882812,145.64682006835938,16.048288345336914,52.684627532958984,194.8164520263672,60.86466598510742,20.974666595458984,86.52751922607422,197.4863739013672,113.88056182861328,93.71623992919922,40.1123161315918,109.82018280029297,34.208900451660156,49.884864807128906,29.193031311035156,60.21230697631836,2723.989990234375
2018-01-05,40.983585357666016,71.8194808959961,51.25415802001953,140.11131286621094,185.33999633789062,49.284236907958984,11.880000114440918,141.59066772460938,114.46675872802734,61.457000732421875,21.495731353759766,90.80653381347656,294.3222961425781,25.133094787597656,342.489990234375,43.964786529541016,1794.1826171875,430.25347900390625,46.283729553222656,201.4199981689453,57.677608489990234,135.98252868652344,350.8800048828125,62.34553909301758,31.521432876586914,88.3204574584961,43.88822937011719,168.21763610839844,106.80231475830078,31.189184188842773,60.78279113769531,90.5539779663086,38.234405517578125,80.89238739013672,106.05350494384766,59.074947357177734,59.800540924072266,20.60927963256836,8.615571975708008,231.82313537597656,170.7044219970703,83.70028686523438,55.16470718383789,38.6754035949707,54.701229095458984,214.14024353027344,158.5016326904297,119.09979248046875,109.55819702148438,37.559051513671875,154.9536590576172,126.336669921875,113.33646392822266,87.1042251586914,53.11372756958008,12.064096450805664,35.90579605102539,142.30133056640625,76.82927703857422,266.27191162109375,81.74391174316406,151.86654663085938,144.26715087890625,35.67608642578125,69.77875518798828,39.36920166015625,185.55384826660156,152.00253295898438,38.79793930053711,42.4754638671875,41.788753509521484,81.11056518554688,31.086240768432617,20.999000549316406,57.7468147277832,5.325338363647461,42.87894821166992,92.89871215820312,24.508872985839844,73.81941223144531,68.71222686767578,78.51848602294922,53.98326110839844,68.64555358886719,50.06332778930664,46.667171478271484,33.67316436767578,109.07231140136719,147.7754364013672,16.10741424560547,53.24468231201172,198.155029296875,62.410438537597656,21.10533332824707,87.19071197509766,201.2522430419922,115.33131408691406,94.00353240966797,40.36037826538086,112.45024871826172,34.13085174560547,50.22100067138672,29.366069793701172,60.163753509521484,2743.14990234375
2018-01-08,40.83134841918945,70.66874694824219,51.10645294189453,141.23098754882812,185.0399932861328,48.95920944213867,12.279999732971191,141.5514373779297,115.68873596191406,62.34349822998047,21.54716682434082,89.9710464477539,295.57073974609375,24.959083557128906,329.6499938964844,44.14920425415039,1821.9974365234375,433.4624328613281,46.2986946105957,202.74000549316406,57.0045280456543,139.39967346191406,356.54998779296875,62.43647766113281,31.091333389282227,87.77188873291016,44.33574295043945,168.8717041015625,107.5531997680664,31.512670516967773,60.25593566894531,91.00003051757812,38.10258865356445,81.35358428955078,104.5333023071289,59.262367248535156,59.61064147949219,20.830535888671875,8.58293628692627,234.2117919921875,170.7044219970703,82.52650451660156,55.07587432861328,38.85995864868164,54.93497848510742,211.03103637695312,158.12286376953125,118.45677185058594,110.21900939941406,37.559051513671875,155.048095703125,130.6199951171875,113.48045349121094,87.23285675048828,53.55043029785156,12.006800651550293,35.85124588012695,142.2484130859375,76.43878173828125,265.044189453125,80.85519409179688,152.3256378173828,144.1676788330078,35.49452209472656,69.75428009033203,39.47553253173828,186.97390747070312,151.5097198486328,38.748348236083984,42.229496002197266,41.61566162109375,81.19334411621094,31.34235382080078,21.204999923706055,58.26128387451172,5.488508701324463,43.330116271972656,92.36640930175781,24.23625373840332,74.2077407836914,68.60681915283203,78.86768341064453,53.820823669433594,69.2977294921875,49.8113899230957,46.87356185913086,33.97548294067383,109.78585052490234,149.79397583007812,16.153867721557617,53.74872589111328,198.47813415527344,62.893497467041016,22.42733383178711,87.60621643066406,197.7591552734375,116.93301391601562,95.14521026611328,40.418739318847656,112.90438842773438,34.07232666015625,49.65276336669922,29.800125122070312,60.43423080444336,2747.7099609375
2018-01-09,40.826663970947266,71.20148468017578,51.19333267211914,141.7019500732422,186.6999969482422,49.268001556396484,11.819999694824219,143.7303924560547,114.90666198730469,62.6349983215332,21.248815536499023,90.303466796875,303.4615173339844,25.08338165283203,336.3599853515625,44.55012893676758,1835.2603759765625,437.1054992675781,46.25381851196289,203.02000427246094,57.601104736328125,139.73553466796875,354.760009765625,62.52740478515625,31.191181182861328,88.54686737060547,44.698402404785156,166.9095001220703,107.8397216796875,31.31542205810547,60.19397735595703,90.51151275634766,38.19382858276367,84.22340393066406,104.45729064941406,58.570255279541016,59.709716796875,20.59308433532715,8.537246704101562,233.41839599609375,171.68841552734375,83.79058837890625,57.814857482910156,38.71055603027344,54.90122985839844,212.81614685058594,158.9956512451172,119.4289321899414,110.4616928100586,36.61882019042969,156.02291870117188,132.53334045410156,115.27991485595703,87.675048828125,53.64595413208008,12.05772876739502,36.03050994873047,143.63290405273438,76.37666320800781,266.9422607421875,81.57998657226562,152.54562377929688,143.84434509277344,35.47801208496094,70.05610656738281,39.76411819458008,186.5667724609375,152.45115661621094,38.34053039550781,42.3338508605957,41.93825149536133,81.13813781738281,31.112869262695312,20.930999755859375,57.84609603881836,5.487024784088135,43.56990432739258,92.43683624267578,24.209646224975586,73.66567993164062,69.10091400146484,79.00735473632812,53.008670806884766,70.05424499511719,49.70220184326172,47.86055374145508,33.55079650878906,107.37281799316406,147.5185089111328,16.111753463745117,55.31686019897461,201.78746032714844,63.376548767089844,22.246000289916992,88.20550537109375,198.7445831298828,118.24124145507812,95.10104370117188,40.695987701416016,112.68678283691406,33.947349548339844,49.82884216308594,29.442319869995117,60.17760467529297,2751.2900390625
2018-01-10,40.81730651855469,70.81083679199219,51.11513900756836,141.20436096191406,187.11000061035156,49.568660736083984,11.960000038146973,143.32284545898438,112.10427856445312,62.71649932861328,20.800098419189453,90.93232727050781,305.2055358886719,25.315399169921875,336.7200012207031,45.9453239440918,1842.7578125,435.165283203125,46.373477935791016,205.61000061035156,57.86117172241211,139.265380859375,350.8299865722656,61.84955978393555,31.559850692749023,89.80944061279297,44.48234176635742,166.13002014160156,107.49393463134766,31.48900032043457,60.0002555847168,91.09207916259766,37.615901947021484,83.90738677978516,104.01073455810547,57.755577087402344,59.932640075683594,20.479764938354492,8.504612922668457,233.6451873779297,170.74603271484375,85.46098327636719,58.26641845703125,37.7878303527832,54.720088958740234,213.1429901123047,157.92526245117188,120.25568389892578,110.69769287109375,35.678585052490234,154.7546844482422,141.25332641601562,115.14395904541016,88.63983917236328,53.14784622192383,12.01953125,35.90579605102539,143.40357971191406,76.41213989257812,267.37835693359375,81.25208282470703,152.88990783691406,143.81954956054688,35.1809196472168,69.73796081542969,40.27293014526367,186.5369873046875,152.3626708984375,38.7373161315918,42.70650100708008,42.433956146240234,80.77027130126953,30.85674285888672,21.25200080871582,57.963436126708984,5.530043125152588,43.33900451660156,91.96714782714844,24.249547958374023,73.1964340209961,69.58842468261719,79.18694305419922,53.00054931640625,70.38294982910156,50.239707946777344,48.057952880859375,33.08292007446289,107.01606750488281,146.38079833984375,15.7378568649292,56.58898162841797,201.97348022460938,61.7244987487793,22.31999969482422,87.65412902832031,197.26641845703125,117.15106201171875,95.60192108154297,41.002410888671875,112.56380462646484,33.999969482421875,50.51713180541992,29.231157302856445,59.6990966796875,2748.22998046875
2018-01-11,41.04914474487305,71.0182876586914,51.464332580566406,141.3909454345703,188.9199981689453,49.6905517578125,12.140000343322754,142.61741638183594,109.95357513427734,63.83399963378906,20.853118896484375,90.49211883544922,312.6960144042969,25.40655517578125,333.07000732421875,46.37030029296875,1862.6226806640625,440.3635559082031,46.71748352050781,206.69000244140625,57.792335510253906,142.0612335205078,355.2699890136719,61.62636947631836,32.719635009765625,90.92401123046875,45.66289520263672,169.67803955078125,107.79031372070312,31.638904571533203,61.22443771362305,93.86039733886719,38.132991790771484,84.20631408691406,105.4549331665039,57.157169342041016,60.997711181640625,20.728002548217773,8.589463233947754,236.41737365722656,171.37982177734375,85.86729431152344,58.525508880615234,38.833580017089844,54.864505767822266,213.8134307861328,160.2965850830078,120.89106750488281,110.71118927001953,36.442508697509766,154.27194213867188,140.4566650390625,115.7997817993164,89.11420440673828,52.62925338745117,12.22325325012207,35.88241958618164,144.4529571533203,76.66951751708984,267.4430236816406,82.60673522949219,153.9036865234375,143.72006225585938,35.08189392089844,69.93376159667969,40.622276306152344,186.46746826171875,153.1019287109375,38.7373161315918,42.93009948730469,42.64640808105469,81.00939178466797,30.838293075561523,21.724000930786133,58.026615142822266,5.539933204650879,43.472225189208984,91.4974365234375,24.30939483642578,72.93749237060547,69.08114624023438,79.5660629272461,53.13861846923828,70.42991638183594,50.39087677001953,48.60528564453125,32.571842193603516,106.91878509521484,145.51834106445312,15.677691459655762,59.20521926879883,204.2938995361328,61.67619705200195,22.530000686645508,88.42922973632812,198.31344604492188,117.69618225097656,98.30521392822266,41.35260772705078,113.37742614746094,34.2762336730957,50.4290885925293,29.33380699157715,60.288578033447266,2767.56005859375
2018-01-12,41.473052978515625,71.78376770019531,51.368309020996094,142.27960205078125,195.0500030517578,49.544273376464844,12.020000457763672,145.031494140625,108.34868621826172,65.26000213623047,20.915639877319336,90.70771789550781,320.4057312011719,25.84573745727539,335.95001220703125,46.84339141845703,1888.4993896484375,454.7799987792969,46.97174835205078,210.16000366210938,58.77135467529297,142.9848175048828,354.0,61.68424606323242,32.59674835205078,91.803466796875,46.334171295166016,171.8821563720703,108.91663360595703,32.24643325805664,61.038490295410156,94.58963775634766,38.229312896728516,84.88961029052734,106.86112213134766,56.88324737548828,61.022464752197266,20.717205047607422,8.635150909423828,236.99278259277344,175.6161651611328,84.69348907470703,58.49590301513672,38.72813415527344,55.69527816772461,215.40570068359375,161.729248046875,121.77143859863281,109.9964828491211,36.2998046875,155.70114135742188,139.67999267578125,116.5755386352539,90.58551788330078,52.77939224243164,12.426974296569824,35.96815872192383,144.75282287597656,77.1931381225586,271.5782775878906,87.02436828613281,155.25221252441406,143.86927795410156,35.04887771606445,69.705322265625,40.50075912475586,178.125732421875,154.46670532226562,38.36257553100586,43.720130920410156,43.37028121948242,82.40738677978516,30.80142593383789,22.12299919128418,58.36959457397461,5.51273775100708,43.96953201293945,91.88885498046875,24.296092987060547,72.50061798095703,68.84397888183594,80.35424041748047,53.09800720214844,71.25947570800781,50.7268180847168,49.699974060058594,32.27670669555664,107.3598861694336,145.1788330078125,15.858195304870605,61.44540786743164,205.77230834960938,61.52162170410156,22.4146671295166,90.06724548339844,201.17300415039062,118.38375854492188,98.76924896240234,41.571475982666016,113.6139144897461,34.111785888671875,50.06093215942383,29.583093643188477,60.6977653503418,2786.239990234375
2018-01-16,41.262264251708984,73.32189178466797,51.01910400390625,140.3690185546875,192.4600067138672,49.61741256713867,11.90999984741211,145.42335510253906,110.49125671386719,65.24299621582031,20.83333396911621,90.1417465209961,319.40509033203125,25.88717269897461,338.8500061035156,46.13776779174805,1888.5682373046875,460.8951416015625,44.810489654541016,210.2899932861328,58.977867126464844,142.1536102294922,352.92999267578125,62.34553909301758,32.12052917480469,90.92401123046875,45.40055465698242,171.6044158935547,107.58284759521484,31.986074447631836,61.549861907958984,93.46389770507812,37.99612045288086,84.95791625976562,105.16988372802734,56.53715896606445,60.13079071044922,20.760377883911133,8.550302505493164,235.01385498046875,172.06365966796875,82.21049499511719,59.40642166137695,38.833580017089844,55.67045974731445,216.6041259765625,161.63873291015625,120.86812591552734,110.47522735595703,36.21584701538086,153.5999755859375,140.02333068847656,117.455322265625,90.26388549804688,53.659610748291016,12.344215393066406,36.264312744140625,142.94509887695312,75.69329833984375,266.6191101074219,87.11930847167969,155.21397399902344,143.9604034423828,35.47801208496094,69.59929656982422,39.376808166503906,177.15252685546875,154.6372833251953,37.98230743408203,46.261661529541016,42.96113204956055,81.25772857666016,30.846494674682617,22.152999877929688,57.24137496948242,5.4417829513549805,44.04058837890625,92.26461791992188,24.335988998413086,72.99415588378906,69.08773803710938,80.2345199584961,55.42887496948242,69.8977279663086,50.861209869384766,49.82558822631836,32.147151947021484,107.05498504638672,146.31655883789062,15.780837059020996,59.97328186035156,203.657470703125,60.835693359375,22.67066764831543,90.22702026367188,204.92124938964844,117.66259002685547,97.87798309326172,41.71009826660156,113.89774322509766,33.98024368286133,50.020912170410156,29.530303955078125,60.31634521484375,2776.419921875
